Geschäfts-Nr.: LY120046-O/U	 #### LY120046	1	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	CITED
2.Seit dem 9. Januar 2012 stehen sich die Parteien vor der Vorinstanz in einem Scheidungsverfahren gegenüber (act. 4/1). Anlässlich der Einigungsverhandlung und Verhandlung über vorsorgliche Massnahmen vom 27. Februar 2012 schlossen die Parteien eine Vereinbarung betreffend vorsorgliche Massnahmen und Abänderung der Eheschutzvereinbarung vom 9. September 2010. Dabei stellten die Parteien fest, dass der Beklagte ab Mitte Januar 2012 infolge Aussteuerung keine Taggelder der Arbeitslosenversicherung mehr erhalten würde, und rechneten ihm ab 1. August 2012 ein hypothetisches Nettoeinkommen von Fr. 3'900.00 an. Ausgehend davon einigten sich die Parteien darauf, die an die Klägerin zu bezahlenden Kinderunterhaltsbeiträge wie folgt zu reduzieren: Für die Zeit von Januar 2012 bis und mit Juli 2012 sollte der Beklagte danach Fr. 225.00 je unmündiges Kind zuzüglich Kinderzulagen bezahlen (ab mm.2012 entfiel dabei der Unterhaltsbeitrag für den ab dann mündigen Sohn D._____). Ab 1. August 2012 sollten sich die Unterhaltsbeiträge sodann auf je Fr. 650.00 zuzüglich Kinderzulagen für E._____ und F._____ erhöhen.	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
Ferner stellten die Parteien fest, dass der Beklagte zur Bezahlung persönlicher Ehegattenunterhaltsbeiträge nicht in der Lage sei. Für den Fall, dass das Einkommen des Beklagten bestimmte Beträge überschreiten würde, sahen die Parteien eine Erhöhung der Unterhaltsbeiträge vor (Vi-Prot. S. 6 ff., act. 4/18).	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
Die Vorinstanz genehmigte die Vereinbarung vom 27. Februar 2012 mit Verfügung vom 2. April 2012 (act. 4/26).	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
3.Mit Eingabe vom 25. Juli 2012 beantragte der Beklagte vor Vorinstanz, die Verfügung vom 2. April 2012 sei dahingehend abzuändern, dass ihm kein hypothetisches Einkommen anzurechnen sei und er daher für die Kinder E._____ und F._____ ab 1. August 2012 und für die weitere Dauer des Scheidungsverfahrens keine Unterhaltsbeiträge zu bezahlen habe (act. 4/47).	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
Mit Verfügung vom 22. Oktober 2012 wies die Vorinstanz das Abänderungsbegehren des Beklagten ab (act. 4/60 = act. 5). Die Verfügung wurde der Rechtsvertreterin des Beklagten am 29. Oktober 2012 zugestellt (act. 4/61).	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
4.Mit Eingabe vom 6. November 2012, gleichentags der Post übergeben, erhob der Beklagte rechtzeitig Berufung gegen die Verfügung vom 22. Oktober 2012 und liess die folgenden Anträge stellen (act. 2 S. 2):	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
"1. Dispositiv Ziff. 1 der Verfügung des Bezirksgerichts Bülach vom 22. Oktober 2012 betreffend vorsorgliche Massnahmen (FE120007-C) sei aufzuheben und es sei in Abänderung der Verfügung des Bezirksgerichts Bülach vom 2. April 2012 betreffend vorsorgliche Massnahmen (FE120007-C) dem Berufungskläger mit Wirkung ab 1. August 2012 und für die weitere Dauer des Scheidungsverfahrens kein Einkommen anzurechnen und es sei die Pflicht des Berufungsklägers zur Bezahlung von Unterhaltsbeiträgen an die beiden Kinder E._____ und F._____ mit Wirkung ab 1. August 2012 und für die weitere Dauer des Verfahrens aufzuheben;	 #### FE120007 #### FE120007	2	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	CITED
2. Unter Kosten- und Entschädigungsfolgen (zzgl. MwSt.) zulasten der Berufungsbeklagten."	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
Zudem stellte die Rechtsvertreterin des Beklagten den folgenden prozessualen Antrag (act. 2 S. 2):	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
"Dem Berufungskläger sei die unentgeltliche Rechtspflege zu bewilligen und in der Person der Unterzeichneten eine unentgeltliche Rechtsvertreterin zu bestellen."	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
5.Mit Beschluss vom 28. November 2012 gewährte die Kammer dem Beklagten die unentgeltliche Rechtspflege und bestellte seine Rechtsvertreterin als Rechtsbeiständin. Gleichzeitig setzte die Kammer der Klägerin die Frist zur Erstattung der Berufungsantwort an (act. 6). Der Beschluss wurde der Klägerin am 30. November 2012 zugestellt (act. 7/2).	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
6.Mit Eingabe vom 10. Dezember 2012, gleichentags der Post übergeben, erstattete die Klägerin rechtzeitig die Berufungsantwort. Dabei beantragte sie was folgt (act. 14 S. 2):	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
"In materieller Hinsicht:	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
1. Der Antrag um Abänderung der mit Verfügung des Bezirksgerichts Bülach vom 2. April 2012 festgelegten vorsorglichen Massnahmen sei vollumfänglich abzuweisen;	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
alles unter Kosten- und Entschädigungsfolge (zzgl. 8.0% MwSt) zulasten des Berufungsklägers.	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
In prozessualer Hinsicht:	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
2. Der Berufungsbeklagten sei die unentgeltliche Rechtspflege zu bewilligen und ihr in der Person des unterzeichneten Rechtsanwalts ein unentgeltlicher Rechtsbeistand zu bestellen."	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
Die Berufungsantwort wurde dem Beklagten zugestellt (act. 17).	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
7.Die Akten des erstinstanzlichen Verfahrens wurden beigezogen (act. 4/1-63). Das Verfahren ist spruchreif.	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
1. Vorbemerkungen:	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
1.1 Gegenstand des vorliegenden Berufungsverfahrens betreffend vorsorgliche Massnahmen ist nur die Unterhaltspflicht des Beklagten. Damit liegt eine vermögensrechtliche Streitigkeit vor (vgl. BGer 5A_740/2009 vom 2. Februar 2010, E. 1). Der demzufolge vorausgesetzte Rechtsmittelstreitwert (Fr. 10'000.00, Art. 308 Abs. 2 ZPO) ist gegeben: Nach der Vereinbarung vom 27. Februar 2012, deren Abänderung die Vorinstanz ablehnte, sind ab dem 1. August 2012 monatliche Kinderunterhaltsbeiträge für die beiden unmündigen Kinder E._____ und F._____ von je Fr. 650.00 zuzüglich Kinderzulagen zu bezahlen (vgl. vorne I./2.). Der Beklagte beantragt dagegen, es seien ab 1. August 2012 keine Unterhaltsbeiträge mehr festzusetzen. Dies ergibt auf eine geschätzte verbleibende Verfahrensdauer von 18 Monaten (das Verfahren vor der Vorinstanz ist bereits relativ weit fortgeschritten) einen Streitwert von Fr. 23'400.00 (vgl. dazu Diggelmann, DIKE-Komm-ZPO, Art. 92 N 7).	 #### 5A_740/2009 vom 2. Februar 2010, E. 1 #### Art. 308 Abs. 2 ZPO #### ZPO	3	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	CITED
1.2 Mit der Berufung können unrichtige Rechtsanwendung und unrichtige Sachverhaltsfeststellung gerügt werden (Art. 310 ZPO). Die Berufungsinstanz verfügt über umfassende Kognition. Sie kann auch Ermessensentscheide überprüfen (ZK ZPO-Reetz/Theiler, Art. 310 N 5 f.).	 #### Art. 310 ZPO #### ZPO	2	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	CITED
Der Berufungskläger hat sich mit der Begründung des erstinstanzlichen Entscheids auseinanderzusetzen (ZK ZPO-Reetz/Theiler, Art. 311 N 36). Aus den Beanstandungen muss für die Berufungsinstanz erkennbar hervorgehen, inwiefern der angefochtene Entscheid nach der Auffassung des Berufungsklägers falsch sein soll (BK ZPO-Sterchi, Art. 311 N 19 f.).	 #### ZPO #### ZPO	2	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	CITED
1.3 Nach Art. 276 Abs. 1 ZPO sind für vorsorgliche Massnahmen während des Scheidungsverfahrens die Bestimmungen über die Massnahmen zum Schutz der ehelichen Gemeinschaft sinngemäss anwendbar. Für Eheschutzmassnahmen im Sinne von Art. 172 ff. ZGB sind die Vorschriften über das summarische Verfahren im Sinne von Art. 248 ff. ZPO massgeblich, unter Vorbehalt von Art. 272 und 273 ZPO (Art. 271 lit. a ZPO).	 #### Art. 276 Abs. 1 ZPO #### Art. 172 ff. ZGB #### Art. 248 ff. ZPO #### Art. 272 und 273 ZPO #### Art. 271 lit. a ZPO	5	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	CITED
1.4 Gemäss Art. 296 Abs. 1 ZPO erforscht das Gericht den Sachverhalt von Amtes wegen, wenn in familienrechtlichen Verfahren über Kinderbelange zu entscheiden ist (Untersuchungsgrundsatz). Dies ändert indes nichts an den Mitwirkungspflichten der Parteien bei der Feststellung des entscheidrelevanten Sachverhalts (BK ZPO-Spycher, Art. 296 N 7; FamKomm Scheidung-Schweighauser, 2. Auflage 2011, Anh. ZPO Art. 296 N 11).	 #### Art. 296 Abs. 1 ZPO #### ZPO #### ZPO Art. 296	3	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	CITED
Der unbeschränkte Untersuchungsgrundsatz in diesem Sinne führt (entgegen der Rechtslage bei eingeschränkter Untersuchungsmaxime) nach der Praxis der Kammer in Abweichung von Art. 317 Abs. 1 ZPO zur unbeschränkten Zulässigkeit von Noven bis zur Urteilsberatung auch im Berufungsverfahren (vgl. OGer ZH NG120001 vom 16. August 2012, E. II./7.4.2). Die Praxis des Bundesgerichts nach BGE 138 III 625 zum beschränkten Untersuchungsgrundsatz wird auf solche Fälle nicht übertragen.	 #### Art. 317 Abs. 1 ZPO #### NG120001 #### BGE 138 III 625	3	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	CITED
2. Zur Zulässigkeit der Abänderung der Unterhaltsbeiträge gemäss Verfügung vom 2. April 2012:	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
2.1 Das vorliegende Massnahmeverfahren betrifft die Abänderung einer gerichtlichen Vereinbarung über vorsorgliche Massnahmen, die in einem früheren Stadium des Scheidungsverfahrens getroffen wurde. Vorsorgliche Massnahmen für die Dauer des Scheidungsverfahrens gemäss Art. 276 ZPO können abgeändert werden, wenn eine wesentliche und dauernde Änderung der dem Entscheid zugrunde liegenden tatsächlichen Verhältnisse (Entscheidgrundlagen) eingetreten ist. Eine Neubeurteilung ist ferner dann zulässig, wenn das Gericht bei Erlass der Massnahme wesentliche Tatsachen nicht gekannt hat oder wenn es feststellt, dass es die Verhältnisse unzutreffend gewürdigt hat (FamKomm Scheidung/Leuenberger, 2. Auflage 2011, Band II, N 8 f. zu Art. 276 ZPO).	 #### Art. 276 ZPO #### Art. 276 ZPO	2	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	CITED
2.2 Die Vorinstanz bejahte die grundsätzliche Möglichkeit der Abänderung des auf einer Parteivereinbarung beruhenden Entscheids und damit die Überprüfung des damals angerechneten hypothetischen Einkommens (act. 5 S. 7 f.). Dies ist nachvollziehbar. Dem Unterhaltsschuldner, dem in einem früheren Entscheid ein hypothetisches Einkommen angerechnet wurde, steht nach Lehre und Praxis des Bundesgerichts der Nachweis offen, dass er dieses Einkommen trotz aller Anstrengungen nicht zu erreichen vermochte. Sowohl die Lehre als auch das Bundesgericht sprechen dabei explizit vom "Nachweis" bzw. von "prouver" (FamKomm Scheidung-Vetterli, 2. Auflage 2011, Art. 179 ZGB N 2; BGer 5P.387/2002 vom 27. Februar 2003 E. 3.1, 3.2 [betreffend Kindesunterhalt]). Auch wenn im summarischen Verfahren kein strikter Beweis zu verlangen ist, so zeigt dies doch, dass an die Glaubhaftmachung der unternommenen Anstrengungen hohe Anforderungen zu stellen sind.	 #### Art. 179 ZGB #### 5P.387/2002 vom 27. Februar 2003 E. 3.1, 3.2	2	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	CITED
2.3 Auf die Kritik der Klägerin an dieser Auffassung und auf das geltend gemachte Rechtsmissbrauchsargument (act. 14 S. 5 f.) braucht nicht weiter eingegangen zu werden. Das Abänderungsbegehren des Beklagten ist, wie nachfolgend gezeigt wird, nach Massgabe der vorstehend geschilderten Praxis auch dann abzuweisen, wenn es als zulässig betrachtet wird.	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
3. Zum Abänderungsgrund:	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
3.1 Hauptthematik des vorliegenden Verfahrens ist die Frage, welches Einkommen der Beklagte erzielen kann. Daher ist auf die berufliche Vorgeschichte des Beklagten einzugehen:	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
Der Beklagte ist nach seiner eigenen Schilderung in G._____ aufgewachsen, wo er die üblichen Schulen besuchte. Danach war er als Hilfskoch, als Mechaniker in einer Autogarage, als Busfahrer sowie als Leiter einer Diskothek tätig. 1984 zog er von G._____ nach H._____. Dort begann er innerhalb einer Freikirche eine Ausbildung zum Pastor. Es folgte ein Praktikumsjahr und die Hochzeit der Parteien, die 1989 nach I._____ zogen. Dort übte der Beklagte zunächst verschiedene Hilfstätigkeiten aus, insbesondere auf dem Bau. Ab 1991 vollendete der Beklagte die Ausbildung zum Pastor innerhalb einer Freikirche und arbeitete in der Folge im freikirchlichen Bereich. 2007 zogen die Parteien in die Schweiz, wo der Beklagte als Pastor bei der J._____gemeinde [Religionsgemeinschaft] in K._____ tätig war. Die entsprechende Stelle verlor er infolge Kündigung per Ende Juni 2010 (act. 4/41 S. 13, act. 2 S. 10 f.). Seither ist der Beklagte arbeitslos und auf Stellensuche (act. 2 S. 12, act. 4/7/15).	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
Die Unterhaltsbeiträge gemäss den eingangs geschilderten Eheschutz- und Massnahmeverfügungen wurden zunächst an die vom Beklagten bezogenen Arbeitslosenversicherungsleistungen angepasst und daraufhin, nach deren Auslaufen im Januar 2012, für eine Übergangszeit weiter reduziert. Dies führte zur geschilderten Anrechnung eines hypothetischen Einkommens von Fr. 3'900.00 netto ab 1. August 2012.	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
3.2 Nach dem vorstehend Ausgeführten (vgl. II./2.) können die Unterhaltsbeiträge gemäss Verfügung vom 2. April 2012 reduziert und kann von der Anrechnung eines hypothetischen Einkommens abgesehen werden, wenn der Beklagte glaubhaft zu machen vermag, dass er dieses Einkommen trotz aller Anstrengungen nicht zu erreichen vermochte. Massgeblich sind dabei die Anstrengungen, die dem Beklagten in der konkreten Situation zumutbar sind.	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
Die Klägerin verweist dazu mit Recht darauf, dass mit Blick auf Unterhaltsansprüche unmündiger Kinder besonders hohe Anforderungen an die Ausnützung der Erwerbskraft zu stellen sind (act. 14 S. 8; BGE 137 III 118). Danach können die im Zusammenhang mit der Arbeitslosenversicherung geltenden Kriterien nicht unbesehen übernommen werden. Namentlich ist die Tatsache, dass der Beklagte arbeitslos war und trotz entsprechender Bemühungen keine Stelle fand, kein Beweis dafür, dass es ihm tatsächlich nicht möglich ist, eine Erwerbstätigkeit aufzunehmen. Der Beklagte hat auch Erwerbsmöglichkeiten in Betracht zu ziehen, die keine abgeschlossene Berufsausbildung erfordern und sich im Tieflohnbereich befinden.	 #### BGE 137 III 118	1	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	CITED
3.3 Zunächst hält die Vorinstanz fest, der Beklagte habe sich im Schnitt für 12 Stellen pro Monat beworben, was nicht als aussergewöhnlich bezeichnet werden könne (act. 5 S. 8). Der quantitative Umfang der Bemühungen entsprach somit nach der Einschätzung der Vorinstanz bereits einem Minimum und erreichte den angesichts der Unterhaltspflicht für unmündige Kinder geforderten Grad der Bemühungen nur knapp.	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
3.3.1 Der Beklagte verweist in der Berufungsbegründung auf weitere Bewerbungen in der Zeit ab August 2012 (act. 2 S. 6 f.). Danach erfolgten im August 2012 nach dem eingereichten "Nachweis der persönlichen Arbeitsbemühungen) insgesamt 12 Bewerbungen bei Personalvermittlungsbüros sowie auf Stellen im Strassenbau, als Bauarbeiter und als Maschinist (act. 3/7). Weitere drei Bewerbungen reichte der Beklagte in diesem Monat für Pastorenstellen ein (act. 3/3, 3/4, 3/6).	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
Das handschriftliche und zum Teil schwer leserbare Dokument "Nachweis der persönlichen Arbeitsbemühungen" ist indessen wenig geeignet, um angemessene Suchbemühungen darzutun. Einige Bewerbungen erfolgten danach offenbar bloss telefonisch, und bei anderen geht aus diesem Dokument nicht hervor, ob und wie sich der Beklagte um die entsprechende Stelle angemessen bemühte.	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
Der Beklagte hat von den für den Monat August 2012 geltend gemachten Suchbemühungen insgesamt 8 Bewerbungen eingereicht. Bei dreien davon handelt es sich um die erwähnten Bewerbungen auf Pastorenstellen und bei den weiteren fünf um Bewerbungen als Strassenbauer (act. 3/3, 3/4, 3/6, 3/9-13).	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
Für den September 2012 ergeben sich aus dem "Nachweis der persönlichen Arbeitsbemühungen" insgesamt vier Bewerbungen, die der Beklagte auch im Einzelnen nachwies. Eine Bewerbung betraf eine Stelle als Hilfsgärtner, eine weitere eine Stelle als "Gruppenleiter in Liegenschaft", zudem bewarb sich der Beklagte als Lagermitarbeiter und als Hauswart (act. 3/7 sowie act. 3/14-17).	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
Zum Monat Oktober 2012 verweist der Beklagte sodann auf 9 Bewerbungen, eine davon telefonisch, 8 weitere schriftlich, an verschiedene Stellen als Hauswart, Lagermitarbeiter, Bauarbeiter, Hilfsgärtner und Filialmitarbeiter bei T._____ (act. 3/7, act. 3/18-25).	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
3.3.2 In den Monaten August 2012 bis Oktober 2012 hat der Beklagte somit insgesamt 28 Bewerbungen aufgezeigt. Auch wenn dabei die erwähnten Vorbehalte an den Nachweis der Bemühungen (einige bloss telefonische "Bewerbungen", einige Bewerbungen, die lediglich mit dem schwer lesbaren Dokument "Nachweis der persönlichen Arbeitsbemühungen" aufgezeigt werden) ausser Acht gelassen werden, ergibt sich ein Durchschnitt von lediglich 9 Bewerbungen pro Monat.	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
Der Beklagte verweist dazu auf Lücken in Zeiten, in welchen er krank gewesen sei (4 Tage im August) bzw. Ferien hatte (eine Woche im August, eine Woche im Oktober 2012; vgl. act. 2 S. 6). Der blosse Hinweis auf Krankheit, ohne jede Angabe, um was für ein Leiden es sich gehandelt habe und ob etwa eine ärztliche Behandlung beigezogen werden musste, ist indessen nicht genügend. Angesichts der geschilderten Anforderungen an die vorzunehmenden Suchbemühungen liegen sodann zwei Wochen Ferien in dieser Zeitperiode am oberen Rand des Angemessenen. Dass der Beklagte in der entsprechenden Zeitperiode zudem im Rahmen von Sozialprogrammen engagiert war (vgl. act. 2 S. 7 f., act. 3/8), mag zutreffen. Dies entbindet den Beklagten jedoch nicht davor, sich allenfalls auch einmal in der Freizeit mit der Stellensuche zu beschäftigen.	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
Der quantitative Umfang der Suchbemühungen des Beklagten liegt damit angesichts der geschilderten hohen Anforderungen an die Ausschöpfung der Erwerbskraft am unteren Rand dessen, was noch als angemessen betrachtet werden kann.	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
3.4 Sodann legt die Vorinstanz dem Beklagten zur Last, seine nachgewiesenen Arbeitsbemühungen seien qualitativ verbesserungsfähig. Im Einzelnen geht es um die folgenden Mängel:	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
3.4.1 Zunächst hält die Vorinstanz fest, der Beklagte habe sich nur vereinzelt und erst seit kurzem die Zeit genommen, auf die spezifischen Stelleninserate zugeschnittene Motivationsschreiben zu verfassen. Demgegenüber seien die meisten E-Mails für Pastorenstellen ausgesprochen kurz, während in den Motivationsschreiben für den Strassen- und Gartenbau meist kein Bezug zum Inserat oder Anforderungsprofil hergestellt werde (act. 5 S. 8).	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
Der Beklagte hält dem entgegen, er habe den E-Mails, mit welchen er sich um Pastorenstellen beworben habe, jeweils seine längeren Motivationsschreiben als Anhänge angefügt (act. 2 S. 8). Allerdings unterliess es der Beklagte auch im Berufungsverfahren, die entsprechenden Motivationsschreiben einzureichen. Aus den vorgelegten Ausdrucken von E-Mails geht zwar hervor, dass bestimmte Anhänge mitgeschickt wurden (act. 4/48/7, 4/48/8, 4/48/16, 4/48/17: je "Bewerbung als Pfarrer", "Dossier", "Zeugnisse"). Ob es sich dabei jeweils um auf die spezifischen Stelleninserate zugeschnittene Motivationsschreiben handelte, lässt sich jedoch nicht feststellen. Etwa bei den Bewerbungen vom 29. Mai 2012, 15. Juni 2012 und 26. Juni 2012 (act. 4/48/8, 4/48/16, 4/48/17) wurde je dieselbe Datei "Bewerbung las Pfarrer.odt" angehängt. Dies spricht (auch angesichts der unterbliebenen Korrektur des Schreibfehlers "las" statt "als") eher gegen die Annahme, es habe sich dabei jedes Mal um ein für die spezifische Stelle verfasstes Motivationsschreiben gehandelt. Die entsprechende Schilderung des Beklagten erscheint daher nicht glaubhaft.	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
Zu den Bewerbungen im Strassenbau macht der Beklagte sodann geltend, er habe sich zum Teil auch blind beworben. Die Ernsthaftigkeit von Blindbewerbungen kann zwar entgegen der Klägerin (act. 14 S. 14) nicht ohne weiteres hinterfragt werden. Die Vorinstanz verweist indes zutreffend darauf, dass der Beklagte bei verschiedenen Bewerbungen für den Strassen- oder Gartenbau als primäres Wunschtätigkeitsgebiet "Sicherheitsdienst/Kundenbetreuung" angab (act. 5 S. 8). Es mag zwar grundsätzlich bei einer an eine Personalvermittlungsunternehmung gerichteten Bewerbung angehen, neben der Bewerbung auf die konkret interessierende Stelle auch Hinweise auf andere gewünschte Tätigkeitsbereiche anzubringen (act. 2 S. 9). Der Beklagte hat indessen den Hinweis auf das Wunschtätigkeitsgebiet "Sicherheitsdienst/Kundenbetreuung" immer wieder bei Bewerbungen angebracht, auch wenn es sich dabei um ausgeschriebene Stellen als Strassenbauer oder Bauarbeiter handelte (etwa act. 4/48/2-5, 4/48/9, 4/48/15, 4/48/19-20; vgl. auch act. 14 S. 10). Die demnach immer wieder verwendeten Formulierungen, die sich oft nicht auf die ausgeschriebene Stelle bezogen, sind ein Anzeichen für einen erheblichen Mangel an Sorgfalt bei der Redaktion der Bewerbungen.	citation_empty	0	0a6ebc98-b451-4223-a29b-03f9470ca75e.txt	NO
