Geschäfts-Nr.: HG120259-O U/dz	 #### HG120259	1	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	CITED
Sachverhalt und Verfahren	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
A. Sachverhaltsübersicht	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
a. Parteien und ihre Stellung	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
Die Klägerin ist eine Aktiengesellschaft mit Sitz in …. Sie bezweckt unter anderem die Fabrikation chemischer und pharmazeutischer Produkte und den Handel mit solchen Produkten, den Handel mit Getreide, Futtermitteln, Dünger und anderen Bedarfsartikeln für die Landwirtschaft und die Lagerung von solchen Produkten, die Rückgewinnung und Herstellung von organischen Lösungsmitteln sowie den Betrieb einer Vernichtungsanlage für flüssige Industrieabfälle (act. 3/2).	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
Der Zweck der Beklagten, einer Aktiengesellschaft mit Sitz in …, ist im Wesentlichen die Beteiligung an Unternehmungen der Industrie, des Handels sowie des Finanz- und Dienstleistungsbereichs (act. 3/3).	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
b. Prozessgegenstand	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
Die Klägerin (bzw. deren Rechtsvorgängerin D._____ AG, nachfolgend ohne Unterscheidung als Klägerin bezeichnet), schloss, in der Funktion als Käuferin ("Purchaser"), am 30. Mai 2006 mit der Beklagten (bzw. deren Rechtsvorgängerin B._____ Holding AG, nachfolgend ohne Unterscheidung als Beklagte bezeichnet), diese in der Funktion als Verkäuferin ("Seller"), einen Kaufvertrag über sämtliche Aktien der B._____ … AG. Da die B._____ … AG Eigentümerin von im Altlastenkataster verzeichneten kontaminierten Grundstücken, unter anderem am Standort E._____, war, regelte der Aktienkaufvertrag auch die Voraussetzungen der Schadloshaltung der Klägerin durch die Beklagte für Schäden oder Verluste, welche die Klägerin im Zusammenhang mit dem Altlastenverfahren erleiden würde. Der Vertrag sah diesbezüglich eine Schadloshaltungspflicht der Beklagten aber nur in Bezug auf Kontaminationen von Drittgrundstücken, sogenanntem "off-site Gelände", vor. Für Kontaminationen des zu verkaufenden Grundstücks wurde eine Haftung der Beklagten hingegen ausgeschlossen.	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
Mit der vorliegenden Klage verlangt die Klägerin die ihrer Ansicht nach aufgrund staatlicher Anordnungen im Zusammenhang mit der Kontamination von off-site Gelände in E._____ verursachten Kosten im Betrag von CHF 225'938.90 (bzw. nach Klagereduktion von CHF 125'938.90), zu deren Bezahlung die Beklagte gestützt auf Ziffer 4.2 (iii) des Vertrags verpflichtet sei (act. 1 Rz. 6). Die Beklagte beantragt die Abweisung der Klage, da die vertraglichen Haftungsvoraussetzungen nicht erfüllt seien.	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
B. Prozessverlauf	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
Die Klägerin machte die Klage mit Einreichung der Klageschrift am 11. Dezember 2012 beim Handelsgericht des Kantons Zürich rechtshängig (act. 1). Nach erfolgter Kautionsleistung reichte die Beklagte am 4. März 2013 die Klageantwort ein (act. 6, act. 11). Am 28. Mai 2013 fand eine Vergleichsverhandlung statt (Prot. S. 6 f.). Der anlässlich dieser Verhandlung geschlossene Vergleich (act. 15) wurde von der Klägerin fristgerecht am 31. Mai 2013 widerrufen (act. 16). In der Folge erstattete die Klägerin am 6. September 2013 die Replik und reduzierte darin ihr Rechtsbegehren um CHF 100'000.– (act. 20). Die Beklagte reichte die Duplik am 12. November 2013 ein (act. 24). Diese wurde der Klägerin zugestellt (act. 26). Mit Eingaben vom 10. Juni 2014 und 13. Juni 2014 (act. 30 und 31) haben beide Parteien auf die Durchführung einer mündlichen Hauptverhandlung verzichtet. Das Verfahren erweist sich als spruchreif.	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
Erwägungen	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
1.                      Formelles	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
1.1.Zuständigkeit	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
Die Klägerin beruft sich für die Zuständigkeit des angerufenen Gerichts auf eine Gerichtsstandsvereinbarung im Vertrag vom 30. Mai 2006 (act. 1 Rz. 8 ff.); die Beklagte anerkennt die Zuständigkeit (act. 11 Rz. 3). Die zürcherischen Gerichte sind somit in Anwendung von Art. 17 ZPO örtlich zuständig. Da die geschäftliche Tätigkeit der Parteien betroffen ist, beide Parteien im schweizerischen Handelsregister eingetragen sind und der Streitwert CHF 30'000.– übersteigt, ist das Handelsgericht des Kantons Zürich gemäss Art. 6 Abs. 1 und 2 ZPO i.V.m. § 44 lit. b GOG auch sachlich zuständig.	 #### Art. 17 ZPO #### Art. 6 Abs. 1 und 2 ZPO	2	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	CITED
1.2.Teilklage	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
Die Klägerin deklariert ihre Klage als Teilklage und behält sich ausdrücklich vor, weitere Kosten im Zusammenhang mit der Sanierung ausserhalb der Parzelle Nr. … von der Beklagten zurückzuverlangen (act. 1 Rz. 194). Ist ein Anspruch teilbar, so kann gemäss Art. 86 ZPO auch nur ein Teil eingeklagt werden. Diese Voraussetzung liegt hier vor, so dass einer Teilklage nichts entgegen steht.	 #### Art. 86 ZPO	1	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	CITED
1.3.Teilrückzug	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
Die Klägerin hat den Klagebetrag in der Replik um CHF 100'000.– auf CHF 125'938.90 reduziert. Die Reduktion des Klagebetrags stellt einen teilweisen Klagerückzug im Sinne von Art. 241 ZPO dar. Das Verfahren ist demnach im Umfang der Reduktion abzuschreiben (Art. 241 Abs. 3 ZPO).	 #### Art. 241 ZPO #### Art. 241 Abs. 3 ZPO	2	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	CITED
2.                      Haftungsvoraussetzungen	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
2.1.Unbestrittener Sachverhalt	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
Es ist unbestritten, dass die Parteien in Ziffer 4.2 des Aktienkaufvertrags vom 30. Mai 2006 Folgendes vereinbart haben (act. 3/1 S. 25 f.):	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
" 4.2 Special Indemnification for Environmental Issues discovered during the pending Investigations and for Claims arising out of the Sale of the … [Ort] Site	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
(i) As Seller has disclosed to Purchaser in Annex E, the competent authorities of the Cantons of St. Gallen, Basel-Stadt and Vaud are presently carrying out investigations on all operating sites of the Business.	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
(ii) Seller shall not be liable for any On-Site Contamination whatsoever, except for possible claims relating to the site … as set out in Section 4.2(v) below.	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
(iii) Seller indemnifies Purchaser or Company for all damage or loss in relation to Off-Site Contamination caused prior to Closing provided a governmental clean-up order relating to a pending Investigation referred to in Section 4.2(i) was issued or a civil claim was raised within a period of 3 years after the Closing Date, it being understood that Purchaser will not demand and will cause the Company not to demand any investigations other than those referred to in Section 4.2(i) during such 3 year period. This Section 4.2(iii) applies irrespective of any differing provision in a governmental order regarding the distribution of costs (Kostenteilungsverfügung).	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
(iv) Claims under Section 4.2(iii) up to the aggregate amount of CHF 100'000.- will be borne by Purchaser, all amounts in excess will be borne by Seller. Seller's liability under subsection 4.2(iii) shall in no event exceed the amount of CHF 2'000'000.- (two million Swiss Francs). This maximum recovery of CHF 2'000'000.- (two million Swiss Francs) shall be separate from the maximum recovery of CHF 10'000'000.- (ten million Swiss Francs) mentioned in Section 4.1.3 to 4.1.6, except for Section 4.1.6(iii) shall not be applicable to this paragraph 4.2(iv).	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
(v) The site … (…).	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
(vi) Other than specifically set forth in this Section 4.2 any liability of Seller for environmental issues vis-à-vis Purchaser or the Company is excluded."	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
Unbestritten ist sodann auch, dass die Parzelle … (Standort E._____) im Jahr 2001 als belasteter Standort in den Altlastenkataster aufgenommen wurde. In den Jahren 2003 bis 2006 wurden historische und technische Voruntersuchungen, am 6. Februar 2006 eine Environmental Due Dilligence und am 3. Mai 2006 eine Legal Due Dilligence durchgeführt. Am 30. Mai 2006 fand die Unterzeichnung des Aktienkaufvertrages und am 30. Juni 2006 schliesslich das Closing statt. Danach wurden weitere Untersuchungen durchgeführt. Im Zusammenhang mit diesen richtete das Amt für Wasser, Böden und Abwasserreinigung des Kantons Waadt (Service des eaux, sols et assainissement, nachfolgend: SESA) innerhalb von drei Jahren nach dem Closing verschiedene Schreiben an die Klägerin, unter anderem die Schreiben vom 14. April 2009 und 13. Mai 2009 (act. 3/14, act. 3/15). Unstrittig ist, dass innert drei Jahren seit dem Closing keine Sanierungsverfügung i.S.v. Art. 18 Abs. 2 AltlV ergangen ist.	 #### Art. 18 Abs. 2 AltlV	1	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	CITED
2.2.Parteistandpunkte	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
Die Klägerin macht geltend, sämtliche Haftungsvoraussetzungen seien erfüllt. Insbesondere erblickt sie in den Schreiben der SESA vom 14. April 2009 und 13. Mai 2009 sogenannte "governmental clean-up orders" im Sinne von Ziffer 4.2 (iii) des Vertrages (act. 1 Rz. 74-76, act. 20 Rz. 72). Die Beklagte bestreitet im Wesentlichen, dass a) innert drei Jahren seit dem closing ein "governmental clean-up order" ergangen sei, b) sich die von der Klägerin als "governmental clean-up order" betrachteten Schreiben auf eine "Off-Site Contamination" beziehen würden, c) die von der Klägerin als "governmental clean-up order" betrachteten Schreiben aufgrund der laufenden Untersuchung ergangen seien und d) es sich bei den von der Klägerin geltend gemachten Untersuchungskosten um einen zu ersetzenden Schaden im Sinne des Vertrages handle (act. 11 Rz. 85, act. 24 Rz. 23 und Rz. 141).	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
2.3.Beweislast	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
Die Klägerin hat das Vorliegen der bestrittenen Haftungsvoraussetzungen substantiiert zu behaupten und gegebenenfalls zu beweisen.	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
3.                      Vorliegen eines "governmental clean-up orders"	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
3.1.Parteistandpunkte	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
Die Parteien sind sich einig, dass mit "governmental clean-up order" eine verbindliche behördliche Anordnung der Vornahme von Sanierungsmassnahmen gemeint ist (act. 1 Rz. 130, 183, act. 11 Rz. 250, 101 ff.). Strittig ist, welche Massnahmen konkret darunter fallen und ob nur formelle Verfügungen oder auch formlose Aufforderungen erfasst werden.	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
Die Klägerin macht im Wesentlichen geltend, die Parteien hätten unter "governmental clean-up order" jede verbindliche Anordnung oder Verfügung durch eine kantonale Behörde verstanden, in welcher die Klägerin im Rahmen des Altlastenverfahrens am Standort E._____ zu konkreten Sanierungsmassnahmen mit entsprechenden Kostenfolgen verpflichtet werde, wobei unter Sanierungsmassnahmen sämtliche Massnahmen zu verstehen seien, die im Hinblick auf eine Sanierung getroffen würden, also auch Detailuntersuchungen, Überwachungsmassnahmen und sonstige Abklärungen (act. 20 Rz. 9 und Rz. 19). Gestützt auf diese Begründung bezeichnet die Klägerin namentlich die Schreiben der SESA vom 14. April 2009 und 13. Mai 2009 als haftungsauslösend (act. 20 S. 10, act. 3/14 und act. 3/15). In beiden Schreiben werde die Sanierungsbedürftigkeit des Standortes E._____ festgehalten und eine Detailuntersuchung i.S.v. Art. 14 AltlV angeordnet (act. 1 Rz. 74 ff.).	 #### Art. 14 AltlV	1	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	CITED
Die Beklagte stellt sich auf den Standpunkt, Sanierungsmassnahmen seien nur Massnahmen im Sinne von Art. 16 Abs. 1 AltlV, mit welchen umweltgefährdende Stoffe beseitigt oder deren Ausbreitung langfristig verhindert und überwacht werden. Solche Sanierungsmassnahmen würden erst mit der Sanierungsverfügung gemäss Art. 18 Abs. 2 lit. b AltV angeordnet. Eine solche sei nicht ergangen (act. 24 Rz. 106).	 #### Art. 16 Abs. 1 AltlV	1	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	CITED
3.2.Rechtliche Grundlagen der Auslegung	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
Der Inhalt eines Vertrags bestimmt sich in erster Linie durch subjektive Auslegung, das heisst, nach dem übereinstimmenden wirklichen Parteiwillen (Art. 18 Abs. 1 OR). Wird eine Übereinstimmung des inneren Willens der Parteien festgestellt, so ist dieser tatsächliche Konsens massgebend und es braucht nicht nach dem allfälligen Vorliegen und dem Inhalt eines normativen Konsenses gesucht zu werden. Nur wenn ein natürlicher Konsens fehlt oder unbewiesen bleibt, gelangt das Vertrauensprinzip zur Anwendung. Zur Ermittlung des mutmasslichen Parteiwillens sind die Erklärungen der Parteien aufgrund des Vertrauensprinzips so auszulegen, wie sie nach ihrem Wortlaut und Zusammenhang sowie den gesamten Umständen verstanden werden durften und mussten. Dabei hat der Richter zu berücksichtigen, was sachgerecht ist, weil nicht anzunehmen ist, dass die Parteien eine unangemessene Lösung gewollt haben (BGE 132 III 24 E. 4; BGE 131 III 606 E. 4.1 = Pra. 2006 Nr. 80; BGE 122 III 420 E. 3a, Urteil des Bundesgerichts 4C.374/2001 vom 6. September 2002, E. 2.1).	 #### Art. 18 Abs. 1 OR #### BGE 132 III 24 E. 4 #### BGE 131 III 606 E. 4.1 #### BGE 122 III 420 E. 3a #### 4C.374/2001 vom 6. September 2002, E. 2.1	5	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	CITED
Die Behauptungs- und Beweislast für Bestand und Inhalt eines vom normativen Auslegungsergebnis abweichenden subjektiven Vertragswillens trägt jene Partei, welche aus diesem Willen zu ihren Gunsten eine Rechtsfolge ableitet (BGE 121 III 118 E. 4.b.aa). Die Parteien behaupten ein voneinander abweichendes Verständnis des Begriffes "governmental clean-up order". Zunächst ist somit zu prüfen, ob ein normativer Konsens besteht. Je nach Ergebnis trägt entweder die Klägerin oder die Beklagte die Beweislast für den von diesem Auslegungsergebnis abweichend behaupteten tatsächlichen Konsens. Bei Misslingen des Beweises bleibt es beim Auslegungsergebnis. Das Bundesgericht hat diese Art der Vorgehensweise geschützt. Es führte dazu aus: "E. 5.1: […] Ziel der Vertragsauslegung ist es demnach, in erster Linie den übereinstimmenden wirklichen Parteiwillen festzustellen (Art. 18 Abs. 1 OR). Erst wenn eine tatsächliche Willensübereinstimmung unbewiesen bleibt, sind zur Ermittlung des mutmasslichen Parteiwillens die Erklärungen der Parteien aufgrund des Vertrauensprinzips so auszulegen, wie sie nach ihrem Wortlaut und Zusammenhang sowie den gesamten Umständen verstanden werden durften und mussten. E. 5.2: Die Vorinstanz ging umgekehrt vor, indem sie zuerst eine normative Auslegung vornahm und hernach prüfte, ob die Beschwerdeführerin ihre davon abweichende Behauptung eines übereinstimmenden Parteiwillens bewiesen habe. Im Ergebnis schadet dieses Vorgehen nicht, da die Vorinstanz so oder anders prüfte, ob ein tatsächlich übereinstimmender Parteiwille, wie ihn die Beschwerdeführerin behauptete, bewiesen sei. […]" (Urteil des Bundesgerichts 4A_683/2011 vom 6. März 2012, E. 5.1, 5.2).	 #### BGE 121 III 118 E. 4.b.aa #### 4A_683/2011 vom 6. März 2012, E. 5.1, 5.2	2	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	CITED
3.2.1.Normative Auslegung	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
3.2.1.1.Rechtliche Grundlagen	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
Bei der Vertrauensauslegung sind Umstände mitzuberücksichtigen, die den Parteien bei Vertragsschluss bekannt oder erkennbar waren. Es ist somit der Zeitpunkt des Vertragsabschlusses massgebend, weshalb nachträgliches Parteiverhalten nicht von Bedeutung ist. Später eintretende Umstände lassen dagegen erkennen, was die Parteien im Vertrag seinerzeit gemeint bzw. wie sie ihre Erklärungen tatsächlich verstanden hatten und können daher für die Ermittlung des tatsächlichen Parteiwillens von Bedeutung sein (BGE 107 II 417 E. 6; BGE 129 III 675 E. 2.3).	 #### BGE 107 II 417 E. 6 #### BGE 129 III 675 E. 2.3	2	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	CITED
Zur Ermittlung des hypothetischen Parteiwillens ist vom Wortlaut auszugehen. Das Gericht orientiert sich dabei am dispositiven Recht, weil derjenige Vertragspartner, der dieses verdrängen will, das mit hinreichender Deutlichkeit zum Ausdruck bringen muss. Es darf aber nicht ausschliesslich auf den klaren Wortlaut abgestellt werden. Aus Art. 18 OR folgt, dass ein klarer Wortlaut für die Auslegung nicht unbedingt entscheidend und eine reine Wortauslegung verboten ist. Selbst wenn eine Vertragsbestimmung auf den ersten Blick klar erscheint, kann sich aus den anderen Vertragsbestimmungen, aus dem von den Parteien verfolgten Zweck und aus weiteren Umständen ergeben, dass der Wortlaut der strittigen Bestimmung nicht genau den Sinn der Vereinbarung unter den Parteien wiedergibt. Bei der Auslegung nach dem Wortlaut kommt dem Sinngehalt des Wortes, den ihm der allgemeine Sprachgebrauch zulegt, entscheidende Bedeutung zu. Denn mangels anderer Anhaltspunkte ist anzunehmen, dass die Parteien ein von ihnen verwendetes Wort gemäss dem allgemeinen Sprachgebrauch zur Zeit des Vertragsabschlusses, somit im Sinne der damaligen Alltags- oder Umgangssprache, verwendet haben. Abzustellen ist demnach auf den gebräuchlichen Wortsinn, der sich auch aus üblichen Wörterbüchern und Lexika ergeben kann. Im Rahmen der grammatikalischen Auslegung ist auch das systematische Element zu berücksichtigen. Ein einzelner Ausdruck ist im Zusammenhang, in dem er steht, als Teil eines Ganzen aufzufassen; sein Sinngehalt wird häufig bestimmt durch die Stellung, die er in diesem Ganzen einnimmt. Auch wenn der Wortlaut für sich allein nicht als entscheidend anzusehen ist, kommt ihm doch im Verhältnis zu den ergänzenden Mitteln der Vorrang zu: Immer dann, wenn die übrigen Auslegungsmittel, insbesondere der Vertragszweck, nicht sicher einen anderen Schluss erlauben, hat es beim Wortlaut sein Bewenden (Bundesgerichtsurteil 5C.87/2002 vom 24. Oktober 2002 E. 2.2 ff.).	 #### Art. 18 OR #### 5C.87/2002 vom 24. Oktober 2002 E. 2.2 ff.	2	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	CITED
3.2.1.2.Wortlaut	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
Der Vertrag ist in Englisch abgefasst. Für seine Auslegung in der massgeblichen Amts-/Gerichtssprache Deutsch ist die Bedeutung des Wortlautes massgeblich. Die Parteien haben den Begriff "governmental clean-up order", anders als andere Vertragstermini, nicht definiert. Nach allgemeinem Sprachgebrauch kann das Wort "governmental" mit "behördlich" oder "staatlich" übersetzt werden, "clean-up" meint Reinemachen, wobei beispielsweise "clean-up costs" mit Aufräumungskosten und "clean-up operations" mit Aufräumungs- oder Sanierungsarbeiten übersetzt werden (vgl. http://dict.leo.org, Abrufdatum 14. Mai 2014). "Order" kann sowohl mit Befehl als auch mit Anordnung oder Verfügung (im Sinne des Verwaltungsrechts) übersetzt werden, jedenfalls mit einer klaren Aufforderung. Es ergibt sich somit bereits aus dem Wortlaut des Vertragsabschnittes, dass es sich um eine behördliche Anordnung zum Reinemachen, Aufräumen oder Sanieren handeln muss; man könnte den Terminus daher – wie dies im Übrigen auch beide Parteien tun – mit "verbindliche behördliche Anordnung der Vornahme von Sanierungsmassnahmen" übersetzen. Eine Sanierungsmassnahme bezeichnet nach allgemeinem Sprachgebrauch eine Massnahme, die unmittelbar auf die Instandsetzung oder Wiederherstellung einer Sache gerichtet ist. Vorbereitende Massnahmen für eine Sanierung, wie beispielsweise Untersuchungen, werden in der Umgangssprache dagegen nicht als Sanierungsmassnahmen bezeichnet. Die Anordnung einer Sanierungsmassnahme impliziert vielmehr, dass solche Untersuchungen bereits stattgefunden haben und es nun nur noch um den eigentlichen Vorgang der Instandsetzung, der Sanierung, geht. Allein gestützt auf den allgemeinen Sprachgebrauch wäre daher unter "governmental clean-up order" eine behördliche Aufforderung zu verstehen, die unmittelbar Massnahmen zur Instandsetzung und somit zur Beseitigung (oder zumindest Eindämmung) der Verschmutzung verlangt/anordnet.	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
3.2.1.3.Umstände des Vertragsschlusses: Altlastenverfahren	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
Die Klägerin bestreitet zwar nicht, dass bei Vertragsschluss feststand, dass ein Altlastenverfahren im Sinne der Altlastenverordnung durchgeführt werden musste, macht jedoch geltend, die Parteien hätten mit "governmental clean-up order" nicht auf eine konkrete Bestimmung in der Altlastenverordnung verweisen wollen (act. 20 Rz. 22). Allerdings stützt sich die Klägerin selber auf die Altlastenverordnung, indem sie das dort geregelte Sanierungsverfahren in eine Sanierungsphase im weiteren Sinn und eine Sanierungsphase im engeren Sinn gliedert, wobei die Sanierungsphase im weiteren Sinn bereits mit der Feststellung der Sanierungsbedürftigkeit beginne. Daher seien auch die in diesem Stadium angeordneten Massnahmen als Sanierungsmassnahmen zu bezeichnen. Sanierungsmassnahmen seien demnach nicht nur Abschlussverfügungen i.S.v. Art. 18 Abs. 2 AltlV, sondern auch die in Art. 13 AltlV aufgeführten Massnahmen, insbesondere die Anordnung der Detailuntersuchung (act. 20 Rz. 8 ff.).	 #### Art. 18 Abs. 2 AltlV #### Art. 13 AltlV	2	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	CITED
Die Beklagte entgegnet dem, der Begriff Sanierungsmassnahme könne nicht losgelöst von der Altlastenverordnung verstanden werden, da der Aktienkaufvertrag gerade Altlastenproblematiken regle (act. 24 Rz. 29 und 49 f.). Immerhin habe die Klägerin mindestens drei Due Diligence-Berichte mit Bezug auf Altlastenproblematiken eingeholt, welche auf die nationale Umweltschutzgesetzgebung Bezug nehmen. Es sei kaum vorstellbar, dass die Klägerin im Vorfeld des Vertragsabschlusses umweltrechtliche Haftungsrisiken gerade mit Bezug auf Altlastenproblematiken habe einschätzen lassen, ohne dass eine solche Einschätzung das Umweltschutzgesetz und die Altlastenverordnung beachtet hätte (act. 24 Rz. 51 ff.). Sowohl der von der Klägerin in Auftrag gegebene Legal Due Diligence-Bericht vom 3. Mai 2006 als auch der F._____-Bericht vom 25. Mai 2006 unterscheide zwischen Untersuchungen und Sanierung bzw. Sanierungsmassnahmen (act. 24 Rz. 107 f.). Sodann bestreitet die Beklagte, dass die Altlastenverordnung eine Unterteilung in eine Sanierungsphase im engeren Sinn und im weiteren Sinn vorsehe. Die Sanierungsphase beginne erst nach Abschluss der Detailuntersuchung, was sich auch aus der Broschüre des BUWAL ergebe (act. 24 Rz. 104, act. 21/1, S. 16).	citation_empty	0	0a7541bd-90b8-42a7-bd15-051fdb28a6c0.txt	NO
